SiteName,Camera,lon,lat,date
Tabletop,BH04,151.84659,-30.91619002,2014/12/19 06:31:00
Paddysland,MG01,152.165443,-30.079649,2014/12/19 07:13:00
Paddysland,MG02,152.161326,-30.088263,2014/12/19 07:57:00
Paddysland,W01,152.134154,-30.091017,2014/12/19 08:04:00
Tabletop,BH05,151.84947,-30.92443001,2014/12/19 09:04:00
Paddysland,B10,152.233846,-30.077107,2014/12/19 09:31:00
Tabletop,BH05,151.84947,-30.92443001,2014/12/19 09:35:00
Paddysland,B10,152.233846,-30.077107,2014/12/19 09:53:00
Tabletop,BM02,151.87666,-30.90362001,2014/12/19 10:12:00
Paddysland,B05,152.195489,-30.093553,2014/12/19 10:21:00
Tabletop,BH01,151.86538,-30.90326998,2014/12/19 11:41:00
Tabletop,TT05,151.95187,-30.89163003,2014/12/19 11:56:00
Paddysland,W03,152.151558,-30.093735,2014/12/19 12:59:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/19 13:06:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/19 13:08:00
Tabletop,BM01,151.88528,-30.89772996,2014/12/19 13:10:00
Tabletop,BM02,151.87666,-30.90362001,2014/12/19 13:14:00
Tabletop,SD02,151.87195,-30.91892998,2014/12/19 13:23:00
Tabletop,SD01,151.87274,-30.91290004,2014/12/19 13:26:00
Tabletop,SD02,151.87195,-30.91892998,2014/12/19 13:32:00
Tabletop,RC02,151.83612,-30.95905004,2014/12/19 14:22:00
Paddysland,W03,152.151558,-30.093735,2014/12/19 14:55:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/19 14:59:00
Tabletop,BH10,151.82919,-30.93709004,2014/12/19 15:09:00
Tabletop,BH10,151.82919,-30.93709004,2014/12/19 15:14:00
Tabletop,BH11,151.83517,-30.93172001,2014/12/19 15:20:00
Tabletop,BH12,151.83246,-30.92361001,2014/12/19 15:23:00
Tabletop,BH13,151.84015,-30.92070996,2014/12/19 15:25:00
Tabletop,BH14,151.84438,-30.92513996,2014/12/19 15:37:00
Tabletop,BH04,151.84659,-30.91619002,2014/12/19 15:40:00
Tabletop,BH03,151.8512,-30.91409999,2014/12/19 15:43:00
